"tag_group","tag","genre_id","href"
"シチュエーション","アイドル・芸能人","4118","/av/list/?genre=4118"
"シチュエーション","アクメ・オーガズム","6968","/av/list/?genre=6968"
"シチュエーション","アスリート","6965","/av/list/?genre=6965"
"シチュエーション","姉・妹","4057","/av/list/?genre=4057"
"シチュエーション","イタズラ","4122","/av/list/?genre=4122"
"シチュエーション","インストラクター","1004","/av/list/?genre=1004"
"シチュエーション","ウェイトレス","1040","/av/list/?genre=1040"
"シチュエーション","受付嬢","6942","/av/list/?genre=6942"
"シチュエーション","エステ","4119","/av/list/?genre=4119"
"シチュエーション","M男","5074","/av/list/?genre=5074"
"シチュエーション","M女","6967","/av/list/?genre=6967"
"シチュエーション","OL","1001","/av/list/?genre=1001"
"シチュエーション","お母さん","1032","/av/list/?genre=1032"
"シチュエーション","女将・女主人","1003","/av/list/?genre=1003"
"シチュエーション","幼なじみ","1083","/av/list/?genre=1083"
"シチュエーション","お爺ちゃん","6934","/av/list/?genre=6934"
"シチュエーション","お嬢様・令嬢","527","/av/list/?genre=527"
"シチュエーション","オタク","6954","/av/list/?genre=6954"
"シチュエーション","オナサポ","6938","/av/list/?genre=6938"
"シチュエーション","お姉さん","1033","/av/list/?genre=1033"
"シチュエーション","お婆ちゃん","6947","/av/list/?genre=6947"
"シチュエーション","叔母さん","6943","/av/list/?genre=6943"
"シチュエーション","お姫様","528","/av/list/?genre=528"
"シチュエーション","お風呂","6969","/av/list/?genre=6969"
"シチュエーション","温泉","4140","/av/list/?genre=4140"
"シチュエーション","女教師","1016","/av/list/?genre=1016"
"シチュエーション","女上司","6945","/av/list/?genre=6945"
"シチュエーション","女戦士","1082","/av/list/?genre=1082"
"シチュエーション","女捜査官","2022","/av/list/?genre=2022"
"シチュエーション","カーセックス","4026","/av/list/?genre=4026"
"シチュエーション","格闘家","1021","/av/list/?genre=1021"
"シチュエーション","カップル","4123","/av/list/?genre=4123"
"シチュエーション","家庭教師","1022","/av/list/?genre=1022"
"シチュエーション","看護婦・ナース","1013","/av/list/?genre=1013"
"シチュエーション","義母","524","/av/list/?genre=524"
"シチュエーション","逆ナン","4120","/av/list/?genre=4120"
"シチュエーション","キャバ嬢・風俗嬢","1036","/av/list/?genre=1036"
"シチュエーション","ギャル","1034","/av/list/?genre=1034"
"シチュエーション","キャンギャル","1005","/av/list/?genre=1005"
"シチュエーション","近親相姦","4002","/av/list/?genre=4002"
